id,age,years_remain,remain_war,name
4220,34,0,1.1537509127431187,Ryan Zimmerman
4229,35,1,0.07741790673243708,Howie Kendrick
4298,33,0,-0.13704782863279436,Matt Wieters
4314,35,6,22.619447338882086,Joey Votto
4316,34,3,6.816402622238974,Daniel Murphy
4403,39,2,-1.025647389929521,Erik Kratz
4579,29,0,1.3299681167844157,Starlin Castro
4616,36,1,2.466290948164962,Russell Martin
4747,38,0,0.3387187100854532,Curtis Granderson
4810,35,0,2.6274269975039415,Brian McCann
4866,34,1,3.4310708328201995,Jarrod Dyson
4881,33,0,-0.915394507348082,Carlos Gomez
4892,30,0,0.7725235931784336,Mike Moustakas
4922,28,2,7.720308680538281,Ender Inciarte
4940,29,5,10.766882584901367,Jason Heyward
4949,29,10,36.04593379385162,Giancarlo Stanton
4962,33,0,0.3397004163142093,Asdrubal Cabrera
5038,33,0,3.507162317938521,Josh Donaldson
5209,35,0,0.5762751219994358,Alex Gordon
5222,31,4,10.160489561041693,Justin Upton
5223,32,0,0.36036474074166414,Cameron Maybin
5227,34,0,-0.1312531158107151,Jon Jay
5235,34,0,3.965082513039561,Justin Turner
5238,29,6,16.53147160223548,Isaac Galloway
5254,29,2,2.3162348650768734,Robbie Grossman
5273,30,2,-0.06952792719838577,Sandy Leon
5275,33,1,3.6500272866252894,Francisco Cervelli
5297,29,1,5.106643738591349,Aaron Hicks
5306,33,6,7.841106575400709,Kristopher Negron
5343,32,3,5.0446893918370606,Brandon Crawford
5352,31,1,0.18451335496775045,Yangervis Solarte
5361,29,3,11.518577769469507,Freddie Freeman
5384,30,1,2.749816162560438,Juan Lagares
5409,32,0,0.7153895685729427,Pablo Sandoval
5417,29,6,23.48356476866511,Jose Altuve
5452,28,5,7.6046434165877255,Ji-Man Choi
5491,30,1,0.3411999646136774,Austin Romine
5497,30,0,1.3899366693809476,Marwin Gonzalez
5503,30,6,2.446575205326991,Corban Joseph
5517,29,6,11.605997953078889,Kyle Higashioka
5631,34,1,0.8545346014786777,Matt Kemp
5751,28,2,2.827854843454206,Hernan Perez
5760,28,1,1.1145274566305625,Avisail Garcia
5827,27,1,1.9981018139705045,Wilmer Flores
5913,28,2,-0.0890232886835732,Leury Garcia
5930,35,0,1.865243341097075,Nick Markakis
5933,29,5,11.252915095285847,Jean Segura
5942,31,2,-0.5083201908338971,Jesus Sucre
6012,29,1,5.6627321370236166,Didi Gregorius
6153,30,3,3.885188007165249,Eduardo Escobar
6184,31,4,8.591368169362305,J.D. Martinez
6195,37,0,1.626722821421812,Ian Kinsler
6368,33,0,0.2149355473268233,Adam Jones
6547,32,0,0.4130194616532674,Jordy Mercer
6589,34,0,0.20773317204556396,Sean Rodriguez
6609,29,0,1.6837376297035884,Freddy Galvis
6677,32,4,2.7162013528594184,JB Shuck
6848,32,0,-0.09315726191368301,Eduardo Nunez
6885,33,4,3.7649688910410477,Ian Desmond
6887,32,0,1.3460690200469405,Martin Maldonado
7007,36,0,1.386349104947305,Yadier Molina
7125,32,6,1.2182184689059303,Alberto Rosario
7185,32,0,0.7464463749791607,Logan Forsythe
7216,28,6,3.177509984643703,Cesar Puello
7287,33,0,-0.7462918356839467,Carlos Gonzalez
7435,38,1,0.8584026367309802,Ben Zobrist
7476,32,1,0.03898286485334251,Alex Avila
7539,33,0,0.5725697034561843,Neil Walker
7619,35,0,-1.1266455345448283,Mark Reynolds
7802,30,2,2.174159543224995,Miguel Rojas
785,33,1,3.309817157967947,Todd Frazier
7859,32,5,15.346711794310398,Charlie Blackmon
7870,33,0,0.6105253202088348,Jonathan Lucroy
7927,33,0,-0.5205495376746575,Eric Sogard
7949,29,2,0.7789875597837903,Tim Beckham
7996,30,4,10.207843390290066,Jose Martinez
8001,35,0,1.0636751185954691,Hanley Ramirez
8090,33,4,11.246545674185372,Matt Carpenter
8202,31,0,0.20677200403800372,Josh Harrison
8203,31,3,3.447725990018367,Dee Gordon
8203,31,1,0.49417942139194826,Dee Gordon
8252,36,0,-0.4464041215157468,Hunter Pence
8259,35,0,0.3533568911848892,Kurt Suzuki
8267,36,0,-0.535829866516072,Chris Iannetta
8392,32,3,2.0224515396210743,Daniel Descalso
8418,29,2,1.0755713498565556,Ehire Adrianza
8553,32,0,0.35692272840797534,Gerardo Parra
8609,31,3,0.7520321427321454,Tim Federowicz
8610,36,1,-1.169904508878326,Kendrys Morales
8623,31,3,2.77322576086705,Donovan Solano
8709,30,5,11.712421024765742,Elvis Andrus
8722,32,1,2.3388077139829155,Jason Castro
9015,32,0,0.8807371950151051,Gordon Beckham
9054,32,0,-0.9532917325167489,Justin Smoak
9077,33,4,11.129384844556961,Lorenzo Cain
9112,31,1,2.858704732482742,Khris Davis
9134,33,0,1.9255178418020094,Tyler Flowers
9166,32,4,11.2122959950805,Buster Posey
9218,31,6,23.085429282317524,Paul Goldschmidt
9241,30,1,4.114544376866698,Starling Marte
9253,29,4,8.776359229735426,Keon Broxton
9256,31,5,11.179625076083548,A.J. Pollock
9272,33,4,2.354457094908486,Chris Davis
9284,31,2,3.422556246880422,Chris Herrmann
9308,31,2,-1.563459119155601,Josh Phegley
9345,31,1,0.7315703061386974,Brock Holt
9368,33,5,9.476743530297304,Evan Longoria
9393,30,0,0.5458445507520254,Matt Adams
9433,31,5,2.462709596313769,Dustin Garneau
9549,36,0,-0.926810102217511,David Freese
